Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
32.2326362,75.7051434,CHAKKI BANK,CHKB,FZR,PUNJAB,A
30.941816,74.6175556,FIROZPUR CANTT.,FZR,FZR,PUNJAB,A
31.3074097,75.6312045,JALLANDHAR CANTT.,JRC,FZR,PUNJAB,A
31.3311995,75.590758,JALANDHAR CITY,JUC,FZR,PUNJAB,A
32.2721934,75.6477226,PATHANKOT,PTK,FZR,PUNJAB,A
30.329389,76.392633,PATIALA,PTA,UMB,PUNJAB,A
31.2171926,75.7654843,PHAGWARA,PGW,FZR,PUNJAB,A
30.4864676,76.5937897,RAJPURA JN.,RPJ,UMB,PUNJAB,A
30.6238725,76.3823873,SIRHIND JN.,SIR,UMB,PUNJAB,A
24.4812799,72.785344,ABUROAD,ABR,AJMER,RAJASTHAN,A
27.5612805,76.6216858,ALWAR,AWR,JAIPUR,RAJASTHAN,A
27.03926,76.5667041,BANDIKUI,BKI,JAIPUR,RAJASTHAN,A
25.7463649,71.3974778,BARMER,BME,JODHPUR,RAJASTHAN,A
25.3451462,74.6314535,BHILWARA,BHL,AJMER,RAJASTHAN,A
28.0145575,73.3159695,BIKANER,BKN,BIKANER,RAJASTHAN,A
25.2354337,73.2346074,FALNA,FA,AJMER,RAJASTHAN,A
26.873343,75.7988459,GANDHINAGAR-JP,GADJ,JAIPUR,RAJASTHAN,A
29.61589,74.300059,HANUMANGARH JN.,HMH,BIKANER,RAJASTHAN,A
26.9170902,70.9283017,JAISALMER,JSM,JODHPUR,RAJASTHAN,A
28.0434943,73.3145098,LALGARH,LGH,BIKANER,RAJASTHAN,A
25.7204036,73.6092822,MARWAR JN.,MJ,AJMER,RAJASTHAN,A
